Industrial Park,Region,Location,Lat,Lon,Zone,Public/Private,Operational
Adama IP,Oromia,"8.513708, 39.305190",8.513708,39.305190,East Shewa Zone,Public,Yes
Bole Lemi IP,Addis Ababa,"8.965583, 38.859990",8.965583,38.859990, Bole Sub City,Public,Yes
Debre Birhan,Amhara,"8.969662, 38.858965",8.969662,38.858965,North Shewa,Public,Yes
Dire Dawa,Dire Dawa,"9.616004, 41.724116",9.616004,41.724116,Dire Dawa City,Public,Yes
Hawassa IP,SNNPR,"7.067951, 38.497849",7.067951,38.497849,Sidama Zone (Now Sidama Region),Public,Yes
ICT IP,Addis Ababa,"8.966122, 38.840630",8.966122,38.840630,Akaki Kaliti Subcity,Public,Yes
Kilinto Pharmaceutical IP,Addis Ababa,"8.903940, 38.816586",8.903940,38.816586,Akaki Kaliti Suncity,Public,
Kombolcha IP,Amhara,"11.109035, 39.717169",11.109035,39.717169,South Wollo,Public,Yes
Mekele IP,Tigray,"13.496443, 39.409542",13.496443,39.409542,Mekele Zone ,Public,Yes
Bahir Dar IP,Amhara,"11.558274, 37.335272",11.558274,37.335272,Bahir Dar Special Zone,Public,Yes
CCCC Arerti,Amhara,"8.921436, 39.409926",8.921436,39.409926,North Shewa,Private,Yes
DBL,Tigray,"13.488106, 39.560569",13.488106,39.560569,Mekele Zone,Private,Yes
Eastern Industrial Zone,Oromia,"8.770720, 38.920008",8.770720,38.920008,East Shewa Zone,Private,Yes
Huajian IP,Addis Ababa,"8.952653, 38.705721",8.952653,38.705721,Nifas Silk - Lafeto Subcity,Private,Yes
Jimma IP,Oromia,"7.644979, 36.820001",7.644979,36.820001,Jima Zone,Public,Yes
Mojo George Shoe Industrial Zone,Oromia,"8.600849, 39.099666",8.600849,39.099666,East Shewa Zone ,Private,Yes
Vogue/Velocity,Tigray,"13.568065, 39.445625",13.568065,39.445625,Mekele Zone,Private,Yes
