,o,d,w,geometry
0,1,10,9159,"LINESTRING (51.19423615 43.6500856, 49.86637319 40.40943762)"
1,4,17,28150964,"LINESTRING (76.85773523 43.22966422, 73.91684012 43.65288192)"
2,7,17,3585286,"LINESTRING (68.8130505 42.43365853, 73.91684012 43.65288192)"
3,4,40,7683662,"LINESTRING (76.85773523 43.22966422, 80.41189971999999 44.21606721)"
4,69,40,1514676,"LINESTRING (89.18466843 42.94997926, 80.41189971999999 44.21606721)"
5,5,25,4122814,"LINESTRING (72.28458996000001 40.8147501, 71.79785386 40.37339112)"
6,35,25,687606,"LINESTRING (67.85315559 40.13305512, 71.79785386 40.37339112)"
7,50,25,260865,"LINESTRING (71.10627429 40.88094522, 71.79785386 40.37339112)"
8,5,36,948471,"LINESTRING (72.28458996000001 40.8147501, 72.86263520999999 40.70247245)"
9,49,36,3584074,"LINESTRING (72.81062618 40.52017458, 72.86263520999999 40.70247245)"
10,70,36,8647809,"LINESTRING (75.41075578 40.5748001, 72.86263520999999 40.70247245)"
11,6,50,7861388,"LINESTRING (70.07422952 41.00845288, 71.10627429 40.88094522)"
12,25,50,538740,"LINESTRING (71.79785386 40.37339112, 71.10627429 40.88094522)"
13,6,60,1378923,"LINESTRING (70.07422952 41.00845288, 69.23343231 41.26065019)"
14,7,60,28141805,"LINESTRING (68.8130505 42.43365853, 69.23343231 41.26065019)"
15,54,60,5549725,"LINESTRING (66.98020844 39.62957641, 69.23343231 41.26065019)"
16,7,53,9159,"LINESTRING (68.8130505 42.43365853, 60.31394877 47.04978092)"
17,12,66,5624810,"LINESTRING (48.04265399 37.97703989999999, 59.21328001 35.27868594)"
18,45,66,945109,"LINESTRING (59.61582533 36.26611183, 59.21328001 35.27868594)"
19,12,76,945109,"LINESTRING (48.04265399 37.97703989999999, 60.88055637 29.49568135)"
20,20,76,5624810,"LINESTRING (60.6459286 25.29687798, 60.88055637 29.49568135)"
21,16,1,9159,"LINESTRING (55.18184777 45.32223604, 51.19423615 43.6500856)"
22,17,4,3585286,"LINESTRING (73.91684012 43.65288192, 76.85773523 43.22966422)"
23,40,4,1514676,"LINESTRING (80.41189971999999 44.21606721, 76.85773523 43.22966422)"
24,17,7,28150964,"LINESTRING (73.91684012 43.65288192, 68.8130505 42.43365853)"
25,60,7,3585286,"LINESTRING (69.23343231 41.26065019, 68.8130505 42.43365853)"
26,25,5,948471,"LINESTRING (71.79785386 40.37339112, 72.28458996000001 40.8147501)"
27,36,5,4122814,"LINESTRING (72.86263520999999 40.70247245, 72.28458996000001 40.8147501)"
28,25,35,3584074,"LINESTRING (71.79785386 40.37339112, 67.85315559 40.13305512)"
29,54,35,687606,"LINESTRING (66.98020844 39.62957641, 67.85315559 40.13305512)"
30,31,42,7560763,"LINESTRING (67.42061344 37.21137416, 67.11609055 36.69681358)"
31,59,42,21305431,"LINESTRING (65.74920704 36.68168619, 67.11609055 36.69681358)"
32,31,65,206163,"LINESTRING (67.42061344 37.21137416, 67.28312911 37.21646347)"
33,37,65,7560763,"LINESTRING (65.78841394 38.82557846, 67.28312911 37.21646347)"
