,amenity,geometry,name
0,school,POINT (27.9116977 -32.9851427),Port Rex Technical High
1,school,POINT (27.9158605 -32.9857187),Hudson Park High
2,school,POINT (27.9160321 -32.9831628),Hudson Park Primary
3,college,POINT (27.8995102 -32.9960097),East London FET College
4,school,POINT (27.8963207 -33.0094526),St. Johns Road Primary
5,school,POINT (27.9000163 -33.0153006),College Street Primary
6,school,POINT (27.8597907 -33.0052925),
7,school,POINT (27.8625908 -33.0083769),
8,school,POINT (27.8656766 -33.0153093),
9,school,POINT (27.8572842 -33.0175235),
10,school,POINT (27.8831326 -32.9821731),Cambridge High
11,school,POINT (27.8958205 -32.9948254),Clarendon Girls High
12,university,POINT (27.8876253 -32.9879143),Walter Sisulu University (Buffalo City Campus: Chiselhurst)
13,school,POINT (27.8901782 -32.9935651),Clarendon Preparatory School for Girls
14,school,POINT (27.8566715 -32.9867082),McLelland Special School
15,school,POINT (27.8627011 -32.9888257),Crewe Primary School
16,school,POINT (27.8954544 -33.0042308),Arcadia Special School
17,school,POINT (27.8906159 -32.9977437),Clarendon Girls Primary
18,school,POINT (27.8888572 -33.0188155),L.A.W. Barnes School
19,school,POINT (27.8804028 -33.0081906),Masakhe Primary School
20,school,POINT (27.882716 -33.0133779),Laerskool Parkside
21,school,POINT (27.8832782 -33.0148797),John Bisseker High School
22,school,POINT (27.8792334 -33.0073088),Lujiza Public Primary School
23,school,POINT (27.8834069 -33.0081816),Pefferville Primary
24,school,POINT (27.8664124 -33.0366529),George Randell High School
25,school,POINT (27.9002142 -32.9886831),Selborne Primary
26,kindergarten,POINT (27.9158983 -33.0166769),
27,school,POINT (27.9120725 -33.0021249),Southernwood Primary School
28,school,POINT (27.7122479 -32.9279168),
29,school,POINT (27.7650485 -32.9285814),
30,school,POINT (27.7649928 -32.9296456),
31,school,POINT (27.7562536 -32.9297422),
32,school,POINT (27.7162585 -32.9299418),
33,school,POINT (27.7527157 -32.9313301),
34,school,POINT (27.7525652 -32.9331632),
35,school,POINT (27.7534344 -32.9351411),
36,school,POINT (27.7294604 -32.9368191),
37,school,POINT (27.7378536 -32.9368536),
38,school,POINT (27.7264898 -32.9370791),
39,school,POINT (27.7637592 -32.9377934),
40,school,POINT (27.7295707 -32.9383477),
41,school,POINT (27.7605834 -32.9384843),
42,school,POINT (27.7284754 -32.9390096),
43,school,POINT (27.7664447 -32.9396431),
44,school,POINT (27.7374203 -32.9409902),
45,school,POINT (27.7222377 -32.9424591),
46,school,POINT (27.7200709 -32.9429713),
47,school,POINT (27.7388464 -32.9439608),
48,school,POINT (27.7815072 -32.9449811),
49,school,POINT (27.752507 -32.9452803),
50,school,POINT (27.7637704 -32.945978),
51,school,POINT (27.762422 -32.9463067),
52,school,POINT (27.7730856 -32.9463335),
53,school,POINT (27.7545685 -32.9466063),
54,school,POINT (27.7492476 -32.948183),
55,school,POINT (27.7161899 -32.948325),
56,school,POINT (27.774196 -32.9484881),
57,school,POINT (27.7186748 -32.9489601),
58,school,POINT (27.7502633 -32.9500656),
59,school,POINT (27.751333 -32.9508735),
60,school,POINT (27.76188 -32.9508995),
61,school,POINT (27.7430688 -32.9513755),
62,school,POINT (27.7649171 -32.9514104),
63,school,POINT (27.7614151 -32.9526172),
64,school,POINT (27.7368141 -32.954936),
65,school,POINT (27.738768 -32.955346),
66,school,POINT (27.7399145 -32.9587887),
67,school,POINT (27.8845139 -32.9749),Cambridge Primary
68,school,POINT (27.8872283 -32.9746845),Cambridge Preparatory
69,school,POINT (27.8678735 -32.9743245),Laerskool Voorpos
70,school,POINT (27.9360873 -32.9707667),Beaconhurst School Gr 4-12
71,school,POINT (27.9397137 -32.9712077),Beaconhurst School Gr R-3
72,school,POINT (27.8350246 -32.9681727),Aqua Vista Primary School
73,school,POINT (27.9683369 -32.8654393),Greensleeves Place of Safety for Children
74,school,POINT (27.69390272623547 -33.14845636163067),Kidd's Beach Primary School
75,school,POINT (27.89972898825911 -32.99440100876529),Selborne College
76,school,POINT (27.87169096499499 -33.02297335003097),Buffalo Flats Primary School
77,university,POINT (27.9068065 -33.02122485),"University of Fort Hare, East London Campus: W. L. Nkuhlu Building"
78,university,POINT (27.90608418046925 -33.02042490498791),"University of Fort Hare, East London Campus"
79,school,POINT (27.9255352436544 -32.98384404150585),Laerskool Nahoon
80,school,POINT (27.92201365497458 -32.99136395761079),Stirling Primary School
81,school,POINT (27.91298202182212 -32.99724242067818),Baysville Secondary School
82,school,POINT (27.91614301461886 -33.00120415131724),Hoerskool Grens
83,school,POINT (27.9241516440879 -32.99325907821763),Stirling High School
84,school,POINT (27.91235527155981 -33.02072920032926),President Primary
85,school,POINT (27.90252521158166 -33.00647217777522),Laerskool Grens
86,school,POINT (27.8867471407677 -33.00260358717083),East London School
87,school,POINT (27.84871893095233 -33.0367888049439),Laerskool Kuswag
88,school,POINT (27.81292936322781 -33.04205670440321),Willow Park Primary School
89,school,POINT (27.85824804478809 -33.03570739213382),George Randell Primary School
90,school,POINT (27.85291253598027 -33.01587535304094),Ebenezer Majombozi High School
91,school,POINT (27.8484678726216 -33.01532839073087),Nontuthuzelo P School
92,school,POINT (27.84628151936715 -33.01628138651102),Aspiranza Primary School
93,school,POINT (27.84403868942415 -33.01406857820069),Alphendale Secondary School
94,school,POINT (27.84208406921903 -33.01216266359886),Cranberry Primary School
